X,Y,objectid,commune,flux,nom,adresse,aériennes__ba___enterrées__be__,identifiant,volume_borne__m3_,marque,modèle,couleur,pédale,trappe_gros_producteurs,cliiink,etat_borne,surface___terre__ciment__herbe_,date_de_mise_en_service,appartiennent_à,convention,date_fin_convention,informations,nombre_de_logements_collectifs,nombre_de_logements_individuels,relevé_gps_code_1,lat,lat2,relevé_gps_code_2,lon,lon2,dimensions_des_plaques_de_consi,consignes_de_tri_à_jour,lat3,lon3,created_user,created_date,last_edited_user,last_edited_date
2.71246695567835,50.3932495115657,1,Ablain-Saint-Nazaire,Verre,,Allée Jules Ferry,BA,,4,UTPM,Ecobox,Vert,Non,Non,Non,,,,CALL,,,,,,50.393249,"50,393249","50,393249",2.712467,"2,712467","2,712467",,,50.39324951,2.71246696,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
2.71240210473387,50.390384673763,2,Ablain-Saint-Nazaire,Verre,,Intersection rue Gares et résidence des Sœurs Dagbert,BA,,4,UTPM,Ecobox,Vert,Non,Non,Non,,,,CALL,,,,,,50.390383,"50,390383","50,390383",2.712402,"2,712402","2,712402",,,50.39038467,2.71240211,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
2.70963811900866,50.3923721306871,3,Ablain-Saint-Nazaire,Verre,,"Rue Marcel Lancino - Proche de l'intersection avec la rue des Scieurs, sur le parking de l'HEPAD",BA,,4,UTPM,Ecobox,Vert,Non,Non,Oui,,,,CALL,,,,,,50.392374,"50,392374","50,392374",2.709638,"2,709638","2,709638",,Oui,50.39237213,2.70963812,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
2.88829493551882,50.3852920527387,4,Acheville,Verre,,Rue du Maréchal Leclerc - A la sortie de la ville en direction de Rouvroy,BA,,4,UTPM,Ecobox,Vert,Non,Non,Oui,,,,CALL,,,,,,50.385293,"50,385293","50,385293",2.888295,"2,888295","2,888295",,Non,50.38529205,2.88829494,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
2.71212196450165,50.4217796334372,5,Aix-Noulette,Verre,,Allée des Bleuets - Sur le parking du stade Garendel,BA,,4,UTPM,Ecobox,Vert,Non,Non,Oui,,,,CALL,,,,,,50.421780,"50,421780","50,421780",2.712122,"2,712122","2,712122",,,50.42177963,2.71212196,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
2.72518205637062,50.415355681668,6,Aix-Noulette,Verre,,Intersection avenue Boris Vian et rue Zeffe,BA,,4,UTPM,Ecobox,Vert,Non,Non,Oui,,,,CALL,,,,,,50.415354,"50,415354","50,415354",2.725182,"2,725182","2,725182",,Oui,50.41535568,2.72518206,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
2.71990609234797,50.4165534973555,7,Aix-Noulette,Verre,,Intersection rue de la Chapelle et avenue Louis Aragon,BA,,4,UTPM,Ecobox,Vert,Non,Non,Non,,,,CALL,,,,,,50.416554,"50,416554","50,416554",2.719906,"2,719906","2,719906",,,50.4165535,2.71990609,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
2.70724105784148,50.4234962460592,8,Aix-Noulette,Verre,,Intersection rue du Bois et Grande Ruelle,BA,,4,UTPM,Ecobox,Vert,Non,Non,Non,,,,CALL,,,,,,50.423498,"50,423498","50,423498",2.707241,"2,707241","2,707241",,Non,50.42349625,2.70724106,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
2.69589209563121,50.4412536621324,9,Aix-Noulette,Verre,,Route de Béthune - Proche de l'intersection avec la rue de Rouen,BA,,4,UTPM,Ecobox,Vert,Non,Non,Non,,,,CALL,,,,,,50.441252,"50,441252","50,441252",2.695892,"2,695892","2,695892",,Non,50.44125366,2.6958921,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
2.70522594548819,50.4254722595747,10,Aix-Noulette,Verre,,Rue de Bouvigny - Proche de l'intersection avec la rue de Boyeffles,BA,,4,UTPM,Ecobox,Vert,Non,Non,Non,,,,CALL,,,,,,50.425472,"50,425472","50,425472",2.705226,"2,705226","2,705226",,Non,50.42547226,2.70522594,AdminAgso,2022/01/31 08:36:17.351+00,AdminAgso,2022/01/31 08:36:17.351+00
